customer_id,customer_name,nationality,number_of_reviews,first_review_date,latest_review_date
d952e516fcb4abbc5aa313b6dd9e424f,Sarah Anderson 10,Romania,6,2023-06-11,2024-06-02
4ec08a341501b6757ab74a9baf0faed9,Sarah Brown 7,Canada,1,2019-05-23,2019-05-23
69600eb346b7f786a8858567f193f889,Sarah Robinson 24,United States,3,2019-05-15,2023-09-28
a8799c698eedd42332f886d824bbf659,Sarah Smith 26,United Kingdom,1,2023-07-05,2023-07-05
6b458c59ac9bc129b7a1c5e86f4d54bf,Sharon Hill 18,United States,9,2017-12-17,2023-08-26
59bbe7aa31a45f9bd85f0491d4ef603d,Sharon Jackson 23,Australia,1,2022-02-07,2022-02-07
05d78c0524c9ce6371a1dbd6a7087a3c,Sharon Lewis 18,United Kingdom,1,2015-01-05,2015-01-05
968a58566a98635078a2fce37fbf05d4,Sharon Patel 31,Indonesia,1,2016-11-08,2016-11-08
ef04e326dccd2d2c783d90871c908583,Sofia Campbell 6,United States,9,2018-07-09,2025-08-17
6c5d8d0feea2034920f5d1ba4ec4e44a,Sofia Garcia 11,Spain,1,2014-03-19,2014-03-19
08e014878253a63327e3440a16c7af16,Sofia Gonzalez 13,China,1,2018-06-13,2018-06-13
24c025ff6a37ee08dfd0de0e20d8a9e4,Sofia Mueller 7,Australia,1,2015-03-28,2015-03-28
68dc5841db59b52b844b7d83167d3f33,Stephen Hall 28,United States,1,2018-01-30,2018-01-30
64c306eaaebc3f08f1ffadffb30397ac,Stephen Mitchell 30,India,1,2013-11-06,2013-11-06
49f8391b33f03cfc32e59cdea6faf37d,Steven Clark 24,United States,1,2016-01-16,2016-01-16
66f01b58a4c6a131433f147691c71bbb,Steven Johnson 11,Switzerland,1,2013-08-06,2013-08-06
1b5b4a76def59ba10e9aebe7bf06dd08,Steven Lopez 25,India,1,2023-07-15,2023-07-15
811f58223353c7f05877c4ae8b8618ff,Steven Walker 21,United States,1,2014-10-28,2014-10-28
100307ae48f2625663235c3ff3186d72,Susan Hernandez 15,United Kingdom,1,2015-09-10,2015-09-10
f8ea7482f6a2f244b6c991d5007287fa,Susan Kowalski 16,Iceland,1,2023-06-12,2023-06-12
735e29e86bdc4cac9a598b1fe07c9865,Susan Martinez 13,United States,2,2014-03-17,2017-12-09
4e60f38adaea1bc76d1310201fd927a5,Thomas Harris 18,United States,2,2024-08-22,2024-08-22
9f9daf72b576604b3be10456d6d62e32,Thomas Martin 13,United States,11,2014-05-11,2025-10-20
937b637ee319ab144375dac51c3c0a0d,Thomas White 17,Belgium,1,2019-01-05,2019-01-05
a412376ac4ce7ca9a63380158fc22a20,Wei Carter 19,Pakistan,1,2025-06-14,2025-06-14
57eeb274c3ff401f23f03ddc3cca8853,Wei Jones 14,Netherlands,1,2016-01-06,2016-01-06
382d9687d714d05ce7534e635976e2ce,Wei Tanaka 29,Switzerland,4,2014-07-27,2015-01-05
1fd3bec29333e44c1681a6110c78c94f,Wei Torres 26,United States,1,2018-07-01,2018-07-01
6a15f0aff39436de8181fce91b005077,Yuki Flores 26,Canada,2,2020-03-16,2020-12-09
7fff434fd6463d356c5330ac585ea1e1,Yuki Patel 28,Bulgaria,1,2024-09-26,2024-09-26
b7d037b1ef709af5c3cee6bf4549d1ee,Yuki Scott 31,United States,1,2018-07-09,2018-07-09
846f75e71bd05dffdb9bef005082c5bf,Yuki Williams 5,Malaysia,7,2019-11-26,2025-03-21
72e6c8fa5ebd508a24e7f6f6af059048,Diego Petrov 3,United Kingdom,1,2024-02-04,2024-02-04
b7cf5efc33ddcae50324b97d5901ea59,Diego Tanaka 20,Netherlands,1,2025-05-30,2025-05-30
a6b78650cc27891f33f745df84adf473,Donna Harris 6,Netherlands,7,2015-04-19,2018-06-14
a123d868a45c9ad25ea31b8fe3ed0524,Donna Hernandez 15,Bahamas,1,2015-08-20,2015-08-20
0b6b80757ca01c9463562552c5e32f65,Donna Lee 25,Singapore,1,2018-03-13,2018-03-13
482e844fe78bc3569ae256ac2433a0b1,Donna Lewis 5,United States,2,2019-04-06,2019-04-06
ebf9dd2adfc7babecf88e76e17a4f839,Edward Martin 22,Canada,1,2017-10-07,2017-10-07
d3bb4a044f44d69669d1491eef9e5214,Edward Moore 28,United States,2,2023-04-07,2023-04-07
4d12ee541ff6af073655967c596c89f5,Edward Tanaka 27,Sweden,1,2017-09-28,2017-09-28
f6cacd2ef841870bd1b62e174259478c,Edward Thompson 23,Switzerland,1,2014-04-10,2014-04-10
768109db7e3cfe044ce24d238f15085b,Edward Williams 29,Australia,1,2011-11-08,2011-11-08
7be913c5365cce3649aa7e454c74de64,Elena Haddad 11,United States,1,2019-10-09,2019-10-09
6b8adaf0036e77af31306ddc2101eb95,Elena Johnson 27,United States,1,2017-06-29,2017-06-29
514384f7278411ddaece276acb002a05,Elena Petrov 22,India,1,2019-05-01,2019-05-01
b60a79da23ddefc1901f88fdc5a58c2f,Emily Adams 19,Ireland,1,2011-12-09,2011-12-09
fbb2a8fbb3146bf328246c3ddad52a94,Emily Chen,Canada,1,2014-09-18,2014-09-18
75669a8d9b5023801426f6929cfea828,Emily Davis 17,Thailand,1,2022-07-07,2022-07-07
af59c3325ce2cde783e5492038d5ee26,Emily Hall 29,United States,1,2018-08-16,2018-08-16
bd35296072810d1f3a6e5a4d9833ff35,Emily Martin 3,Cayman Islands,1,2019-06-21,2019-06-21
07b85176d9a12920b9acadfe888063e8,Emily Petrov 24,India,1,2019-05-06,2019-05-06
44e8950f027b1b57009df7380f1b46e7,Emily Torres 19,Australia,3,2012-05-13,2013-05-05
7772f6918dec083eee6f4a07474a594a,Emily Williams 10,Switzerland,8,2016-02-08,2018-04-29
81a3bed5a19abb2f35e7ab7cd01599c0,Emily Williams 18,United States,1,2017-09-29,2017-09-29
b7977f03f715a96c0e8a0a0637b9a8ce,Eric Moore 2,unknown,1,2006-05-09,2006-05-09
343c5d455fa139c0516bbef0a87e9022,Eric Singh 23,United Kingdom,1,2014-08-14,2014-08-14
18422e6058fee6421f12bc8d3f42cecc,Fatima Carter 31,Canada,1,2022-05-17,2022-05-17
fbec15aab838721446c4e994c5f9e305,Fatima Davis 17,South Africa,1,2021-12-13,2021-12-13
54ea2ce3c8f3d26894cc3a5d36166709,Fatima Rodriguez 10,Italy,3,2018-07-11,2019-08-26
e926029abd54a3e9d8b65eacdf3c8f17,George Hernandez 28,Germany,1,2015-06-28,2015-06-28
11c5de4ebbdb2b84f63c041d1c29fcbc,George Kim 21,United States,1,2019-11-18,2019-11-18
b4569bbe99c86d74fd4b9c2ca59ae415,George Nelson 8,Australia,4,2018-07-30,2025-12-05
074dc215928f985532a7d346d2c2ad7a,George Nguyen,United Kingdom,3,2011-08-07,2011-08-14
fa8e8ba79696018d5d10dd3a171fc30f,George Sanchez 25,Canada,1,2015-01-28,2015-01-28
488f48d9c71967bfe56a6d5fed0e1b12,George Scott,United States,2,2023-07-31,2023-07-31
98f7b545e5d7daf930c0b65bd1a55c32,George Taylor 5,United Kingdom,1,2014-09-19,2014-09-19
17beb1ecdd6764902fb82e97de8fc218,Hassan Adams 23,Malaysia,12,2013-11-22,2016-05-09
34ab8a249ece748d54fb5f09fdcf65d2,Hassan Anderson 10,United Kingdom,1,2011-08-02,2011-08-02
53b4613c105433dd734f55b7664380ba,Hassan Williams 17,Australia,2,2014-10-12,2015-01-14
7018a7afbfe39bff84188779d646313d,Helen Gonzalez 22,United States,2,2019-05-20,2019-05-20
e9a3320cc1dae15d8f1ae24af7ae2a52,Helen Hill 8,Australia,1,2012-08-19,2012-08-19
3ede9288ac2f4c835bc64a35a050c679,Helen Lewis 4,Australia,2,2013-05-28,2013-05-30
3a323fced9bad232605bad9cd4577c97,Helen Rodriguez 18,United Kingdom,1,2016-10-23,2016-10-23
39ecccb7b44bfc0c55fed2c5524c0f1c,Helen Rodriguez 30,Canada,2,2013-09-15,2013-09-15
