customer_id,customer_name,nationality,number_of_reviews,first_review_date,latest_review_date
606b201fc94c8277dfb3c01ecdb1ecff,Carlos Martin 18,United Kingdom,1,2019-03-08,2019-03-08
6212c067771eda72be480218b57ccf02,Daniel Kowalski 23,United Kingdom,1,2024-02-25,2024-02-25
51ba93c89055afb343a0477f0da80297,Donna Brown,United Kingdom,1,2010-12-05,2010-12-05
dd2728f036f3d6eeeda1b84ecd38b036,Edward Hall 24,New Zealand,1,2014-08-02,2014-08-02
00dadae5a9644e0701a440289ded29e3,Joshua Adams 25,United Kingdom,1,2016-06-01,2016-06-01
ad37b64ee7e64055c159fe7386b2680a,Joshua Clark 29,United Kingdom,2,2014-11-06,2017-10-25
bd564b5ae49256f74d7275b3e3fd6215,Kathleen Haddad 7,Australia,1,2018-06-16,2018-06-16
8926151121c1bf114e0a1c34ce0d7abd,Lars Patel 25,United Kingdom,1,2008-02-20,2008-02-20
af076610b15bde41c6bdcd5cf4ef59d4,Linda Jones 21,United Kingdom,1,2007-11-02,2007-11-02
2f34245f28ac44ccda49e36c911c209b,Mei Allen 17,United Kingdom,2,2013-01-10,2013-01-10
8a093205095c57731241a8176fa7db02,Melissa Gonzalez 17,United States,3,2011-05-22,2011-05-22
7ba6216243b4657912fc3ae559dd76d4,Michael Martin 13,United Kingdom,1,2010-08-13,2010-08-13
2eb75296845f20c7bd68d6868bf8f813,Paul Rivera,Germany,1,2015-12-12,2015-12-12
4cca0a734c73317784f97e727f04302e,Paul Wright 8,United States,3,2011-07-31,2011-08-02
fb7cffaadb07d46dfa539009181e154c,Priya Sanchez 24,United Kingdom,1,2011-05-03,2011-05-03
2a15a93f1225fc51af558e8082cab299,Robert Robinson 27,Canada,2,2020-03-29,2020-03-29
42d1b5c7785e88410ab68db49fd15223,Ronald Flores 22,Norway,2,2024-05-06,2026-01-14
9fb383f9b3124e81edcdce84c5552221,Steven Ramirez 19,United Kingdom,4,2015-07-19,2015-08-15
d0eccdbdc9638961d3cd887a16f9785a,Susan Allen 2,Vietnam,17,2016-10-06,2023-03-13
eac37000612e5748353afac0a8b79a9a,Aisha Miller 7,United States,1,2015-11-02,2015-11-02
885b4ebd8a09a85171ee5930dda034a7,Cynthia King 15,United Kingdom,1,2015-08-13,2015-08-13
1742d60851ae71343abe65a1a319508d,Donna Haddad 13,United States,1,2015-01-04,2015-01-04
0b92911abd1df6492b7b24205edfe84f,Edward White 16,Canada,1,2014-01-21,2014-01-21
836352e78b024ddabf32689907e644d3,Hassan Nelson 16,Canada,1,2020-02-04,2020-02-04
bbbc5fb267ab700116e9a4ba078ae48e,Helen Rossi 21,United States,1,2015-05-29,2015-05-29
8436c21dc017eebc6673823f517205a9,Lisa Martinez 16,Japan,2,2016-05-15,2016-08-26
117fd57803e3c0178c2e2754422d4150,Mark Allen,United Kingdom,2,2008-03-22,2010-07-14
96becb2e83ee9b64016420d8c5a71fed,Mei Scott 24,Australia,2,2019-01-29,2019-04-21
fb7910f658f2f859390e084e74be3d25,Michelle Rodriguez,United Kingdom,1,2017-12-10,2017-12-10
d03a2b6f1f1db29295d8e64f9e393054,Nancy Schmidt 27,United Kingdom,2,2016-03-06,2016-03-06
eea25dc53acc59fb8bd40f495368f703,Paul Young 4,United States,3,2016-02-08,2016-02-09
2e364ef64dc26b6bdd4e2a309cac5cdc,Priya Mueller 2,Germany,1,2015-06-13,2015-06-13
c449a426e7e7a249e7c5abc22a2969b5,Robert Kowalski 26,United Arab Emirates,1,2016-08-28,2016-08-28
47e055c7424ae01d9087759093d438f5,Sharon Okafor 24,Switzerland,1,2017-06-10,2017-06-10
d8d6f9488f2080ffea1f694a68f1e45b,Sharon Rodriguez 31,Australia,1,2016-09-09,2016-09-09
62e157760480d9e9a3aba678c6af3992,Sofia Adams 20,United Kingdom,5,2016-04-07,2017-03-19
a1b746c921efabb13877c50c8969b844,Stephen Schmidt 15,United States,1,2015-01-02,2015-01-02
dd283c2a4f7ce5b28a399ee0d1c489ef,Wei Johnson 14,United Kingdom,1,2009-06-04,2009-06-04
6fe3d1438703958585f10711a5ff9ed9,Anthony Hernandez 23,United Kingdom,1,2009-07-14,2009-07-14
151cd6c84feb76c306b1befd11fd5e84,Anthony Mueller 17,Kuwait,1,2011-10-21,2011-10-21
b0777cb03be068d7b541b80bdbab7a40,Cynthia Wilson 24,Switzerland,1,2017-07-21,2017-07-21
977b1cf436b432cbc9181fb50c952464,Edward White 18,United States,1,2014-02-20,2014-02-20
608c6c3ad3bbac7350cfb7e9c5a619c4,Eric Lewis 15,United States,1,2011-10-21,2011-10-21
aa65f1e8fed8a90de5d20f09bec85bdd,Jennifer Garcia 6,United Kingdom,8,2007-12-07,2022-06-08
61a28e27b3e7cfd4e852e6de5b308907,John Johnson 3,Germany,1,2018-06-25,2018-06-25
87dd502c1aa1def44d373409651b19ef,Kimberly Thompson 31,Thailand,2,2022-10-16,2022-10-16
368b71b8fa3b29fdbff9479b01ed8341,Matthew Okafor 15,United Kingdom,1,2018-08-13,2018-08-13
b497106667a79eafd9513d66339d5f80,Raj Robinson 31,Canada,1,2019-05-14,2019-05-14
89d65f1aa78a5ef051bbccc0665ab026,Sofia Robinson 21,Spain,2,2015-03-22,2015-03-22
13cb720872d56d71b78baa48ffe3267c,Thomas Wright 22,United Kingdom,2,2011-05-03,2011-05-03
f59ab2bcf777552f1ce62f859cdfd859,Wei Haddad 4,United Kingdom,3,2010-07-05,2010-07-05
30d2934b4c5f4136a31470f790072c8a,Yuki Jones,United Kingdom,1,2015-09-10,2015-09-10
32d0e66fb8cd507e2ef4c86cc7119c3f,Anna Anderson 16,United Kingdom,1,2009-10-05,2009-10-05
ebe982e4c9864eb8bae69f8a2f5f7786,Anthony Thompson 7,Canada,1,2013-01-10,2013-01-10
0b6ce2331bfe8f05a3e3901ded80475d,Edward Roberts,Australia,1,2016-01-13,2016-01-13
