customer_id,customer_name,nationality,number_of_reviews,first_review_date,latest_review_date
a82735617c2af83e9871775d7b3b972d,Andrew Schmidt 13,New Zealand,2,2009-03-03,2009-03-03
a2aaf0befd7055f0b6bfab399b44e3e0,Christopher Haddad 28,United Kingdom,1,2014-08-12,2014-08-12
05633fde55538beb8b5bc35bf0e9e943,Daniel Schmidt 16,Canada,1,2017-01-10,2017-01-10
f428e87579e34b5fd0945d2dab64b851,David Clark 28,Germany,1,2014-07-09,2014-07-09
1eb055a16765b931a7d5744fb1a0d84f,Edward Harris 23,United States,1,2016-02-07,2016-02-07
84444ab6de5b3334eb9811c24a42d925,Helen Allen 16,Trinidad & Tobago,2,2014-10-27,2014-10-27
ae0273e091c8332399cc3c97a1ce29e7,Helen Perez 15,Bangladesh,3,2015-07-21,2015-07-28
29210a5aea6222719d83da6d2f378b2c,Ingrid Mitchell 23,United States,1,2019-04-14,2019-04-14
00c0fab321a762e4a83bc6ef8850e236,Jennifer Hill 26,Australia,2,2015-09-15,2015-09-15
42db474192214fe60432819f03613bd0,Jennifer Schmidt 28,United Kingdom,1,2007-11-13,2007-11-13
7d94a71f3716db820582ad10ecfc5820,Joshua Carter 5,United States,1,2018-01-01,2018-01-01
920288d22d9dbad6551e88075c0bba5d,Kevin Torres 12,India,2,2014-03-03,2014-03-03
4edb3f37184eccdaaceff397b7576675,Mei Jones 30,India,3,2016-08-26,2016-11-08
776e561f10edd03fdd5513e5142493bb,Michelle Okafor 28,United States,1,2024-10-03,2024-10-03
1487a334317dabd3f3e17bee69ec5c88,Priya Patel 19,Czech Republic,1,2019-07-21,2019-07-21
a47703c2c10cd8e06d69812753c44fb0,Sarah Torres 6,United Kingdom,1,2009-03-03,2009-03-03
3ec79730daf930daffa042c75979bd9b,Yuki Hall 21,Canada,1,2020-04-18,2020-04-18
d93063ebe2d7ea84e8e90d3eb12a21a1,Andrew Petrov 18,United States,2,2019-04-09,2019-04-09
cbefd5c9d31c01bc9dd48264ae1c97a2,Anna Kim 17,Brazil,1,2014-03-10,2014-03-10
95baa99e6ec2b4f90d47e3bbfc7d4ca2,Brian Adams 30,Taiwan,1,2010-08-26,2010-08-26
50682e914deef1be76a75a6a3fbde5f8,Elena Davis 6,Netherlands,1,2018-04-30,2018-04-30
b742811e5bf6d1254186e0ddd872c74b,Hassan Patel 10,United Kingdom,2,2017-10-09,2017-10-09
5108604d273125507e05df3f3f6b3fca,Kimberly Davis 17,France,2,2017-11-02,2017-12-01
3d55303349eb9d8a81abf293d7bed899,Kimberly Jackson 2,China,2,2016-04-19,2016-04-19
60a9918b617a0597155119d4cc5b40b5,Lisa Mitchell 29,Germany,1,2014-08-05,2014-08-05
8b0b2a2faf30f73fea5fe805ca3b2f47,Michael Gonzalez 17,United States,1,2014-11-19,2014-11-19
1e7ba90ebb16c26ca0893cd49afeca3b,Michael Gonzalez 26,Sweden,1,2015-11-03,2015-11-03
74090f8fabeb49ff9cbb1ae0cff9728b,Omar Williams 4,United States,1,2024-07-27,2024-07-27
683b72698e117c1224867f72c20796fa,Raj Green 26,Canada,1,2016-02-10,2016-02-10
eeb5973bf385e8d35a0421acf7dda0d4,Robert Thomas 19,Italy,1,2019-01-11,2019-01-11
